-1.661825180053710938e-01,9.060751646757125854e-02,8.472929000854492188e-01,2.638626657426357269e-02,-9.450934827327728271e-03,-7.307969778776168823e-02,9.969322085380554199e-01,-2.457135319709777832e-01,7.819564198143780231e-04,-2.727657370269298553e-02,5.500518158078193665e-02,4.031835496425628662e-02,2.430896274745464325e-03,-1.768470108509063721e-01,-1.008597239851951599e-01,9.592767804861068726e-02,1.325964480638504028e-01,1.989597380161285400e-01,9.779002517461776733e-02,-4.921072348952293396e-02,1.151720136404037476e-01,-2.895630300045013428e-01,3.707378208637237549e-01,8.810729533433914185e-02,-4.814457595348358154e-01,0.000000000000000000e+00,-1.672787368297576904e-01,-3.806623816490173340e-01,1.352526992559432983e-01,-4.183787703514099121e-01,0.000000000000000000e+00
-1.640819311141967773e-01,8.659709990024566650e-02,8.474023342132568359e-01,2.557711675763130188e-02,-1.688610017299652100e-02,-7.882764935493469238e-02,9.964170455932617188e-01,-2.150171697139739990e-01,1.365135889500379562e-02,3.616240341216325760e-03,4.734796658158302307e-02,4.271078854799270630e-02,-4.850438795983791351e-03,-1.406602710485458374e-01,-9.685625135898590088e-02,6.956439465284347534e-02,1.125000789761543274e-01,2.009465247392654419e-01,9.744187444448471069e-02,-4.479142650961875916e-02,1.210176125168800354e-01,-2.811152338981628418e-01,3.636805713176727295e-01,7.302536070346832275e-02,-4.706999957561492920e-01,0.000000000000000000e+00,-1.531974673271179199e-01,-3.717912733554840088e-01,1.415484994649887085e-01,-4.032054245471954346e-01,0.000000000000000000e+00
-1.635734140872955322e-01,8.292475342750549316e-02,8.474338054656982422e-01,2.541413530707359314e-02,-2.001745626330375671e-02,-8.379723131656646729e-02,9.959575533866882324e-01,-1.980938166379928589e-01,2.226230315864086151e-02,2.131333760917186737e-02,3.780866041779518127e-02,4.584192112088203430e-02,-9.241199120879173279e-03,-1.189575120806694031e-01,-9.048298001289367676e-02,6.565159559249877930e-02,9.335350245237350464e-02,2.002003043889999390e-01,9.708274900913238525e-02,-4.179981723427772522e-02,1.248545572161674500e-01,-2.764977514743804932e-01,3.600282967090606689e-01,6.065376847982406616e-02,-4.629240632057189941e-01,0.000000000000000000e+00,-1.472506076097488403e-01,-3.713326454162597656e-01,1.474869996309280396e-01,-3.953944742679595947e-01,0.000000000000000000e+00
-1.640084981918334961e-01,7.960759103298187256e-02,8.475305438041687012e-01,2.586334012448787689e-02,-2.110312506556510925e-02,-8.809313178062438965e-02,9.955527782440185547e-01,-1.904487907886505127e-01,2.865830250084400177e-02,3.423597663640975952e-02,3.153329342603683472e-02,4.994753375649452209e-02,-1.135694235563278198e-02,-1.072583720088005066e-01,-8.578397333621978760e-02,6.485612690448760986e-02,7.841796427965164185e-02,2.007005214691162109e-01,9.737212210893630981e-02,-3.974031284451484680e-02,1.259769499301910400e-01,-2.737675309181213379e-01,3.567514717578887939e-01,5.098118260502815247e-02,-4.574590623378753662e-01,0.000000000000000000e+00,-1.437840461730957031e-01,-3.748917281627655029e-01,1.542908996343612671e-01,-3.911448419094085693e-01,0.000000000000000000e+00
-1.651380509138107300e-01,7.650060951709747314e-02,8.476136922836303711e-01,2.641676366329193115e-02,-2.134742587804794312e-02,-9.124317765235900879e-02,9.952492713928222656e-01,-1.876608729362487793e-01,3.354644402861595154e-02,4.224038869142532349e-02,2.770092152059078217e-02,5.314964428544044495e-02,-1.222033519297838211e-02,-1.005140021443367004e-01,-8.144016563892364502e-02,6.801740080118179321e-02,6.635919213294982910e-02,2.006568610668182373e-01,9.887056052684783936e-02,-3.756088763475418091e-02,1.247189417481422424e-01,-2.735868096351623535e-01,3.545897901058197021e-01,4.146542027592658997e-02,-4.541273713111877441e-01,0.000000000000000000e+00,-1.400152891874313354e-01,-3.794130682945251465e-01,1.603948920965194702e-01,-3.887316584587097168e-01,0.000000000000000000e+00
-1.665830612182617188e-01,7.356052845716476440e-02,8.476438522338867188e-01,2.725807204842567444e-02,-2.158815599977970123e-02,-9.375713020563125610e-02,9.949877262115478516e-01,-1.871118694543838501e-01,3.736386820673942566e-02,4.820440709590911865e-02,2.604570798575878143e-02,5.678856372833251953e-02,-1.348728965967893600e-02,-9.555662423372268677e-02,-7.780470699071884155e-02,7.190571725368499756e-02,5.645668134093284607e-02,2.009415477514266968e-01,9.918440878391265869e-02,-3.554200008511543274e-02,1.241339519619941711e-01,-2.763130366802215576e-01,3.541284501552581787e-01,3.479015827178955078e-02,-4.528607130050659180e-01,0.000000000000000000e+00,-1.340866833925247192e-01,-3.833642005920410156e-01,1.649016737937927246e-01,-3.862689733505249023e-01,0.000000000000000000e+00
-1.681034266948699951e-01,7.052905857563018799e-02,8.476576805114746094e-01,2.796133980154991150e-02,-2.179489657282829285e-02,-9.599319845438003540e-02,9.947504401206970215e-01,-1.886805295944213867e-01,4.158013314008712769e-02,5.179122835397720337e-02,2.671047486364841461e-02,6.240766495466232300e-02,-1.672089844942092896e-02,-9.239777922630310059e-02,-7.426973432302474976e-02,7.477623969316482544e-02,4.817228019237518311e-02,2.052541673183441162e-01,1.019765436649322510e-01,-3.369271755218505859e-02,1.240582466125488281e-01,-2.797231674194335938e-01,3.523745536804199219e-01,2.987062744796276093e-02,-4.522859752178192139e-01,0.000000000000000000e+00,-1.259348392486572266e-01,-3.858259618282318115e-01,1.697723716497421265e-01,-3.841615617275238037e-01,0.000000000000000000e+00
-1.698929518461227417e-01,6.761041283607482910e-02,8.478035926818847656e-01,2.869123220443725586e-02,-2.183349803090095520e-02,-9.800420701503753662e-02,9.945327043533325195e-01,-1.915059238672256470e-01,4.598890617489814758e-02,5.275489017367362976e-02,2.819209359586238861e-02,6.466563045978546143e-02,-1.649351045489311218e-02,-8.923124521970748901e-02,-7.039830088615417480e-02,7.797377556562423706e-02,3.957708179950714111e-02,2.060494273900985718e-01,1.052757129073143005e-01,-3.215669840574264526e-02,1.240152120590209961e-01,-2.838068008422851562e-01,3.515699505805969238e-01,2.702068164944648743e-02,-4.527177512645721436e-01,0.000000000000000000e+00,-1.163049414753913879e-01,-3.887666463851928711e-01,1.736211925745010376e-01,-3.817318975925445557e-01,0.000000000000000000e+00
-1.718236505985260010e-01,6.483953446149826050e-02,8.479179739952087402e-01,2.937842905521392822e-02,-2.210509590804576874e-02,-9.965594112873077393e-02,9.943425059318542480e-01,-1.956764459609985352e-01,4.958699643611907959e-02,5.310407280921936035e-02,3.241470828652381897e-02,6.652522087097167969e-02,-1.792349480092525482e-02,-8.635410666465759277e-02,-6.712956726551055908e-02,7.995197176933288574e-02,3.194599226117134094e-02,2.076469212770462036e-01,1.088099926710128784e-01,-2.994003705680370331e-02,1.249230429530143738e-01,-2.872587144374847412e-01,3.509911000728607178e-01,2.434186078608036041e-02,-4.527516961097717285e-01,0.000000000000000000e+00,-1.062925755977630615e-01,-3.911173641681671143e-01,1.765226572751998901e-01,-3.799509108066558838e-01,0.000000000000000000e+00
-1.738307476043701172e-01,6.211841478943824768e-02,8.480584621429443359e-01,3.050639852881431580e-02,-2.218541316688060760e-02,-1.015064045786857605e-01,9.941195249557495117e-01,-2.005353569984436035e-01,5.231168866157531738e-02,5.275481939315795898e-02,3.717428073287010193e-02,6.667128950357437134e-02,-1.763905026018619537e-02,-8.384618908166885376e-02,-6.472590565681457520e-02,8.268225938081741333e-02,2.387610077857971191e-02,2.085961401462554932e-01,1.115861982107162476e-01,-2.870300039649009705e-02,1.265420466661453247e-01,-2.894415557384490967e-01,3.488959372043609619e-01,2.303850464522838593e-02,-4.519461691379547119e-01,0.000000000000000000e+00,-9.732199460268020630e-02,-3.938305974006652832e-01,1.783372908830642700e-01,-3.791398704051971436e-01,0.000000000000000000e+00
